,customer_Id,DOB,Gender,city_code,transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,prod_cat,prod_sub_cat_code,prod_subcat
99283,274308,29-12-92,F,5.0,26208690928,274308,22-10-2012,1,2,2,898,188.58,1984.58,MBR,Footwear,4,Kids
99284,274308,29-12-92,F,5.0,57358822237,274308,5/9/2012,1,2,4,876,367.92,3871.92,e-Shop,Footwear,1,Mens
99285,274308,29-12-92,F,5.0,57358822237,274308,5/9/2012,1,2,4,876,367.92,3871.92,e-Shop,Footwear,3,Women
99286,274308,29-12-92,F,5.0,57358822237,274308,5/9/2012,1,2,4,876,367.92,3871.92,e-Shop,Footwear,4,Kids
99287,274308,29-12-92,F,5.0,58160544337,274308,4/7/2012,12,5,5,588,308.7,3248.7,e-Shop,Books,7,Fiction
99288,274308,29-12-92,F,5.0,58160544337,274308,4/7/2012,12,5,5,588,308.7,3248.7,e-Shop,Books,12,Academic
99289,274308,29-12-92,F,5.0,58160544337,274308,4/7/2012,12,5,5,588,308.7,3248.7,e-Shop,Books,10,Non-Fiction
99290,274308,29-12-92,F,5.0,58160544337,274308,4/7/2012,12,5,5,588,308.7,3248.7,e-Shop,Books,11,Children
99291,274308,29-12-92,F,5.0,58160544337,274308,4/7/2012,12,5,5,588,308.7,3248.7,e-Shop,Books,3,Comics
99292,274308,29-12-92,F,5.0,58160544337,274308,4/7/2012,12,5,5,588,308.7,3248.7,e-Shop,Books,6,DIY
